,Equipe_D,Equipe_E,Cote_D,Cote_N,Cote_E,Score_D,Score_E,Saison,Winner_D,Winner_E,Elo_D_Before,Elo_D,Elo_E_Before,Elo_E,Diff_Victoire,Diff_Nul,Diff_Defaite,Diff_But,Diff_Encaisse,Diff_Moyenne_cote,Diff_Elo_Before,Points_a,Points_b,Diff_Points,PCA1,PCA2,PCA3
984,Bordeaux,Dijon,1.79,3.51,4.87,2,2,2019-2020,0,0,1522.6236527060696,1521.0152439549217,1466.2523044916722,1467.86071324282,0,1,-1,-3,-3,-0.1379999999999999,56.37134821439736,34,25,9,0.7217287388682381,-0.8641043957538058,-1.056848438253168
985,Nantes,Metz,1.84,3.23,5.14,0,0,2019-2020,0,0,1518.158938577231,1516.5493350322492,1461.74497572249,1463.3545792674718,-2,0,2,1,5,0.5059999999999998,56.41396285474116,33,27,6,0.42874826210870237,-0.8495946237307053,1.5020514785997576
986,Nimes,Angers,2.79,3.22,2.63,1,0,2019-2020,1,0,1494.3057371707214,1504.6148080203095,1505.0473795123203,1494.7383086627322,3,-2,-1,7,-3,0.5420000000000003,-10.74164234159889,24,30,-6,-0.28089236604961026,2.554672101053036,0.008602252679068704
987,Toulouse,Nice,2.29,3.48,3.09,0,2,2019-2020,0,1,1382.938999041143,1377.3855911747307,1549.0213352542617,1554.574743120674,-1,-2,3,-4,3,2.5380000000000003,-166.08233621311865,13,33,-20,-1.6546449572443656,-0.0659323813506178,0.1592653020156373
988,Amiens,Paris SG,6.36,4.57,1.49,4,4,2019-2020,0,0,1442.296936013937,1449.6959576395307,1772.4521706524795,1765.0531490268859,-5,3,2,-14,1,2.4880000000000004,-330.1552346385424,20,61,-41,-3.4348477472728622,-0.956090586242099,-2.0254129858486745
989,Monaco,Montpellier,1.73,3.79,4.82,1,0,2019-2020,1,0,1547.6940772174833,1558.534474254065,1576.961493167088,1566.1210961305064,-1,-1,2,0,3,-3.5820000000000007,-29.26741594960481,35,37,-2,-0.15169172275632,-0.18946902936372492,0.7444002250387334
990,Paris SG,Lyon,1.34,5.58,8.06,4,2,2019-2020,1,0,1767.0353847406147,1772.4521706524795,1594.9907526549753,1589.5739667431105,2,-1,-1,9,1,-0.55,172.04463208563948,58,33,25,2.1149120495306954,0.5203499845708934,1.638366101636806
991,Strasbourg,Reims,2.08,2.98,4.26,3,0,2019-2020,1,0,1520.389137007959,1531.0225326124607,1542.4250545047212,1531.7916589002195,2,-2,0,1,-1,0.2759999999999998,-22.035917496762067,33,33,0,0.06632026743522819,0.5239609496921545,-0.09416737745815675
992,Montpellier,St Etienne,2.04,3.22,4.07,1,0,2019-2020,1,0,1567.844528107971,1576.961493167088,1537.084634848365,1527.967669789248,2,1,-3,5,-2,3.1579999999999995,30.75989325960586,34,28,6,0.5968766400741167,1.1974086049420598,0.04257888550719001
993,Amiens,Monaco,3.19,3.49,2.23,1,2,2019-2020,0,1,1449.7497189548972,1442.296936013937,1540.2412942765231,1547.6940772174833,-1,2,-1,-4,-8,-1.1400000000000001,-90.49157532162599,20,32,-12,-0.8722800760867445,0.7106307554795942,-2.7347836508223744
994,Dijon,Nantes,2.64,3.14,2.86,3,3,2019-2020,0,0,1464.6809863103729,1466.2523044916722,1519.7302567585305,1518.158938577231,1,1,-2,1,-2,-0.8179999999999992,-55.049270448157586,24,32,-8,-0.5348512745986171,1.1969069249207074,-0.6555940029359815
995,Metz,Bordeaux,2.73,3.01,2.86,1,2,2019-2020,0,1,1470.5033596194469,1461.74497572249,1513.8652688091126,1522.6236527060696,2,0,-2,5,0,0.4119999999999999,-43.36190918966577,27,31,-4,-0.18787255872602693,1.6814727907301208,0.41108612305716774
996,Nice,Nimes,1.96,3.63,3.81,1,3,2019-2020,0,1,1561.2621368666212,1549.0213352542617,1482.0649355583619,1494.3057371707214,-1,3,-2,0,0,0.01999999999999913,79.19720130825931,33,21,12,0.963440755468988,-0.7064409843854677,-0.03081521632415498
997,Rennes,Brest,1.57,3.97,6.23,0,0,2019-2020,0,0,1584.3324418651764,1581.2215296936333,1472.543967250429,1475.654879421972,0,0,0,-3,-6,-0.8880000000000003,111.78847461474743,40,29,11,0.9090298181708851,-0.7559376241115822,-1.6781089350849983
998,Marseille,Toulouse,1.37,4.86,8.73,1,0,2019-2020,1,0,1646.9862738306474,1650.6378938993576,1386.5906191098532,1382.938999041143,3,1,-4,4,-11,-3.014,260.39565472079425,46,13,33,2.8291522935729625,0.28496591234587065,-1.9776315236594428
999,Angers,Lille,2.88,3.07,2.66,0,2,2019-2020,0,1,1512.6061994864556,1505.0473795123203,1599.1692284545518,1606.728048428687,-1,2,-1,0,-2,0.10400000000000009,-86.5630289680962,30,37,-7,-0.49727594990935164,0.6813641663730038,-0.7169370904082873
